brand,fuel,location,model_name,odometer,price,transmission,year
Honda,Bensin,Malang ,jazz,40000.0,228 ,Otomatis,2017
Honda,Bensin,Malang ,jazz,18000.0,250 ,Otomatis,2018
Honda,Bensin,Malang ,jazz,1.0,92 ,Manual,2004
Honda,Bensin,Kota SBY ,jazz,1.0,209 ,Otomatis,2015
Nissan,Bensin,Kota SBY ,serena,67000.0,179 ,Otomatis,2013
Nissan,Bensin,Indonesia ,serena,136000.0,95 ,Otomatis,2010
Suzuki,Bensin,Jakarta Timur ,ertiga,65000.0,120 ,Otomatis,2013
Suzuki,Bensin,Jakarta Timur ,ertiga,61000.0,93 ,Otomatis,2013
Suzuki,Bensin,Jakarta Selatan ,ertiga,106000.0,90 ,Manual,2012
Suzuki,Bensin,Kota SBY ,ertiga,1.0,132 ,Manual,2015
Toyota,Bensin,Jakarta Timur ,avanza,70000.0,137.5 ,Manual,2017
Toyota,Bensin,Jakarta Timur ,avanza,27000.0,135 ,Manual,2018
Toyota,Bensin,Jakarta Timur ,avanza,71000.0,122.5 ,Manual,2015
Suzuki,Bensin,Indonesia ,swift,41405.0,128 ,Otomatis,2014
Suzuki,Bensin,Semarang ,swift,73000.0,105 ,Otomatis,2011
Suzuki,Bensin,Indonesia ,swift,225000.0,82 ,Manual,2009
Suzuki,Bensin,Indonesia ,swift,51000.0,132 ,Otomatis,2014
Toyota,Bensin,Indonesia ,sienta,30000.0,195 ,Otomatis,2017
Toyota,Bensin,Pontianak ,sienta,35000.0,211 ,Otomatis,2016
Toyota,Bensin,Banten ,sienta,70000.0,165 ,Otomatis,2017
Toyota,Bensin,Bekasi ,sienta,42047.0,155 ,Otomatis,2017
Nissan,Bensin,Indonesia ,livina,1.0,78 ,Otomatis,2008
Nissan,Bensin,Kabupaten Sleman ,livina,143000.0,62 ,Manual,2008
Nissan,Bensin,Kota Tgr. Sel. ,livina,90000.0,109 ,Otomatis,2014
Honda,Bensin,Kota SBY ,jazz,28000.0,210 ,Manual,2016
Honda,Bensin,Malang ,jazz,1.0,145 ,Otomatis,2010
Honda,Bensin,Malang ,jazz,1.0,147.5 ,Otomatis,2010
Honda,Bensin,Malang ,jazz,88000.0,145 ,Otomatis,2010
Suzuki,Bensin,Jakarta Timur ,ertiga,45000.0,128 ,Manual,2016
Suzuki,Bensin,Jakarta Timur ,ertiga,85000.0,108 ,Manual,2013
Suzuki,Bensin,Malang ,ertiga,83000.0,138.5 ,Manual,2015
Suzuki,Bensin,Kabupaten Sidoarjo ,ertiga,40000.0,138 ,Manual,2014
Toyota,Bensin,Jakarta Timur ,avanza,65000.0,122.5 ,Manual,2016
Toyota,Bensin,Kota Jakarta Timur ,avanza,150000.0,95 ,Manual,2013
Toyota,Bensin,Kota Jakarta Barat ,avanza,37000.0,127 ,Otomatis,2018
Suzuki,Bensin,Bandung ,swift,100000.0,92.5 ,Otomatis,2007
Suzuki,Bensin,Jl. Raya Karawaci / Imam Bonjol ,swift,50000.0,119 ,Otomatis,2012
Suzuki,Bensin,Depok ,swift,61000.0,135 ,Otomatis,2013
Suzuki,Bensin,Malang ,swift,1.0,145 ,Manual,2013
Toyota,Bensin,Palembang ,sienta,1.0,158 ,Otomatis,2016
Toyota,Bensin,Pekanbaru ,sienta,2.0,166 ,Otomatis,2016
Toyota,Bensin,Semarang ,sienta,50732.0,155 ,Otomatis,2017
Toyota,Bensin,Indonesia ,sienta,1.0,208 ,Otomatis,2018
Nissan,Bensin,Semarang ,livina,1.0,112 ,Manual,2014
Nissan,Bensin,Indonesia ,livina,80000.0,107 ,Manual,2013
Nissan,Bensin,Indonesia ,livina,165500.0,70 ,Otomatis,2008
Honda,Bensin,Malang ,jazz,115000.0,125 ,Manual,2008
Suzuki,Bensin,Malang ,ertiga,1.0,120 ,Manual,2012
Suzuki,Bensin,Malang ,ertiga,1.0,145 ,Manual,2015
Suzuki,Bensin,Malang ,ertiga,1.0,142 ,Manual,2016
Suzuki,Bensin,Kota SBY ,ertiga,63000.0,158 ,Manual,2018
Toyota,Bensin,Tangerang ,avanza,48000.0,109 ,Otomatis,2018
Toyota,Bensin,Depok ,avanza,88000.0,140 ,Manual,2016
Toyota,Bensin,Tangerang ,avanza,34000.0,143 ,Otomatis,2018
Suzuki,Bensin,Semarang ,swift,66000.0,138 ,Otomatis,2014
Suzuki,Bensin,Bantul ,swift,50000.0,90 ,Otomatis,2006
Toyota,Bensin,ID ,sienta,55000.0,186 ,Otomatis,2016
Toyota,Bensin,Indonesia ,sienta,1.0,155 ,Manual,2016
Toyota,Bensin,Depok ,sienta,38000.0,170 ,Manual,2017
Toyota,Bensin,Indonesia ,sienta,61000.0,175 ,Manual,2017
Nissan,Bensin,Indonesia ,livina,130000.0,97 ,Otomatis,2012
Nissan,Bensin,Pontianak ,livina,15000.0,159 ,Otomatis,2018
Nissan,Bensin,Kubu Raya Regency ,livina,15000.0,92 ,Otomatis,2008
Nissan,Bensin,Pontianak ,livina,15000.0,139 ,Otomatis,2015
Suzuki,Bensin,Kabupaten Sidoarjo ,ertiga,57000.0,123 ,Otomatis,2013
Toyota,Bensin,Tangerang ,avanza,37000.0,138 ,Manual,2018
Toyota,Bensin,Bekasi ,avanza,146000.0,90 ,Manual,2009
Toyota,Bensin,Bekasi ,avanza,70000.0,125 ,Otomatis,2015
Toyota,Bensin,Kota Jakarta Timur ,avanza,65123.0,148 ,Manual,2016
Toyota,Bensin,Indonesia ,sienta,75552.0,149 ,Otomatis,2016
Toyota,Bensin,Jl. Gading Serpong Boulevard ,sienta,35000.0,164 ,Otomatis,2016
Nissan,Bensin,Kubu Raya Regency ,livina,15000.0,115 ,Manual,2013
Nissan,Bensin,Indonesia ,livina,190000.0,95 ,Manual,2011
Nissan,Bensin,Indonesia ,livina,8000.0,210 ,Otomatis,2019
